04.02.2025 20:42:13 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2012_DT_PELE_donnee.pdf
04.02.2025 20:42:14 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2012_DT_TLM_corrige.pdf
04.02.2025 20:42:14 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2012_DT_TLM_donnee.pdf
04.02.2025 20:42:15 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2012_TC_IEL_corrige.pdf
04.02.2025 20:42:15 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2012_TC_IEL_donnee.pdf
04.02.2025 20:42:16 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2012_TC_PELE_corrige.pdf
04.02.2025 20:42:16 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2012_TC_PELE_donnee.pdf
04.02.2025 20:42:17 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2012_TR_TLM_corrige.pdf
04.02.2025 20:42:18 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2012_TR_TLM_donnee.pdf
04.02.2025 20:42:19 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2012_TS_ELM_corrige.pdf
04.02.2025 20:42:19 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2012_TS_ELM_donnee.pdf
04.02.2025 20:42:19 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2012_TS_IEL_corrige.pdf
04.02.2025 20:42:20 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2012_TS_IEL_donnee.pdf
04.02.2025 20:42:21 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2012_TS_PELE_corrige.pdf
04.02.2025 20:42:21 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2012_TS_PELE_donnee.pdf
04.02.2025 20:42:22 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2012_TS_TLM_corrige.pdf
04.02.2025 20:42:22 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2012_TS_TLM_donnee.pdf
04.02.2025 20:42:23 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2013_BT_ELM_corrige.pdf
04.02.2025 20:42:23 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2013_BT_ELM_donnee.pdf
04.02.2025 20:42:23 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2013_BT_IEL_corrige.pdf
